School,Rush Rank,Pass Rank,Tot Off Rank,Rush Def Rank,Pass Def Rank,Score Def Rank,Punt Ret Rank,KO Ret Rank,TO Margin Rank,Penalty Yds Rank,Def Punt Ret Rank,Def KO Ret Rank,Def Sacks Rank,Def Tckl Loss Rank,Off 3rd Dwn Rank,Def 3rd Dwn Rank,Off 4th Dwn Rank,Def 4th Dwn Rank,Wins,Losses,Ties,Win Pct
UTEP,87,9,31,72,51,61,36,92,108,86,3,52,40,23,30,48,61,93,8,4,0,66.67
Utah,32,12,12,61,67,50,94,30,59,81,9,105,46,70,41,75,20,25,7,5,0,58.33
Utah St.,92,82,98,53,99,103,48,13,70,74,38,112,60,53,64,105,106,75,3,8,0,27.27
Vanderbilt,94,19,46,82,69,82,98,66,70,1,86,95,110,110,19,71,18,49,5,6,0,45.45
Virginia,63,57,64,62,71,40,87,24,46,24,44,43,97,111,24,95,61,58,7,5,0,58.33
Virginia Tech,29,91,57,8,3,2,62,88,21,47,101,61,22,50,29,15,20,84,11,2,0,84.62
Wake Forest,23,104,68,38,92,77,110,116,70,76,20,101,109,95,97,23,58,36,4,7,0,36.36
Washington,72,58,69,49,106,89,101,60,77,34,99,116,55,42,98,98,82,107,2,9,0,18.18
Washington St.,15,20,8,65,113,97,26,86,85,82,11,39,12,62,51,81,61,76,4,7,0,36.36
West Virginia,4,115,50,19,34,13,7,21,7,64,37,36,46,50,16,50,13,47,11,1,0,91.67
Western Mich.,57,32,48,56,116,93,59,89,25,79,21,69,23,34,48,97,36,77,7,4,0,63.64
Wisconsin,37,50,45,79,88,48,10,73,11,21,64,34,49,87,11,84,37,101,10,3,0,76.92
Wyoming,91,34,65,81,40,69,75,48,111,51,27,38,51,101,52,63,93,95,4,7,0,36.36
